原始位置,回收数据位置,回收元数据位置,文件数,逻辑字节,回收UTC时间,内容核验
F:\Documents\楚物志\artifacts\ai-difficulty-gamepad-gui2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RPSSYZE.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IPSSYZE.log,1,2587,2026-09-17T20:01:55.3250000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-gamepad-gui3.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R6WQNFM.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I6WQNFM.log,1,2560,2026-09-17T20:01:55.5420000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-games-gui-final-r20.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RR1IPX6.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IR1IPX6.log,1,13275,2026-09-17T20:01:55.7260000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-games-gui-r13.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RLRP67G.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ILRP67G.log,1,13273,2026-09-17T20:01:55.9160000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-games-gui.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R80FA1B.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I80FA1B.log,1,28503,2026-09-17T20:01:56.0870000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-gui,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RTS49P3,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ITS49P3,17,12699818,2026-09-17T20:01:56.3870000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-gui-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RILD2DV.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IILD2DV.log,1,2148,2026-09-17T20:01:57.1890000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-gui.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R84N5UF.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I84N5UF.log,1,2754,2026-09-17T20:01:57.4100000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-heldout-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJTTL5G.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJTTL5G.log,1,0,2026-09-17T20:01:57.6070000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-heldout.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RDN6NSE.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IDN6NSE.log,1,0,2026-09-17T20:01:57.8340000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R0D7JUG.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I0D7JUG.log,1,1880,2026-09-17T20:01:58.0190000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-layout-final-r20.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RILJ82D.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IILJ82D.log,1,2560,2026-09-17T20:01:58.2160000Z,SHA-256全部一致
